"aphiaID","Kingdom","Subkingdom","Infrakingdom","Phylum","Subphylum","Infraphylum","Class","Subclass","Order","Family","Genus","Species","Superorder","Phylum (Division)","Subphylum (Subdivision)","Suborder","Subfamily","Variety","Forma","Subgenus","Superclass","rank"
109526,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Ostreopsidaceae","Centrodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109527,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Oxytoxaceae","Corythodinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109528,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Oxytoxaceae","Oxytoxum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109534,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Ostreopsidaceae","Coolia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109537,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Protoperidiniaceae","Diplopsalopsis",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109540,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Heterocapsaceae","Heterocapsa",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109541,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Peridiniaceae","Kryptoperidinium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109542,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Peridiniales","Protoperidiniaceae","Oblea",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109543,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae","Peridiniphycidae","Gonyaulacales","Cladopyxidaceae","Peridiniella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
109545,"Chromista","Harosa","Alveolata","Myzozoa","Dinozoa","Dinoflagellata","Dinophyceae",NA,"Thoracosphaerales","Thoracosphaeraceae","Scrippsiella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Genus"
