"RLABO","SHIPC","CRUIS","STNNO","LATIT","LONGI","POSYS","STATN","SDATE","STIME","WADEP","SMPNO","FINFL","SMVOL","MNDEP","MXDEP","SPECI","TRPHY","STAGE","PARAM","MUNIT","ALABO","METOA","METFP","SLABO","SMTYP","PURPM","MYEAR","DTYPE","RLIST","SIZCL","SIZRF","SFLAG","VALUE","MPROG"
"BAMN","AA31","2009","Bouee 1320091210NA",44.6334,-1.2377,,"Bouee 13","20091210",,,"Bouee 13_20091210",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,389.189189,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091210NA",44.6334,-1.2377,,"Bouee 13","20091210",,,"Bouee 13_20091210",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,15764.86486,"CEMP~NATL"
"BAMN","AA31","2009","Bouee 1320091210NA",44.6334,-1.2377,,"Bouee 13","20091210",,,"Bouee 13_20091210",,,1,1,345515,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,1921.621622,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090106NA",44.6782,-1.10207,,"Comprian","20090106",,,"Comprian_20090106",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,59.055118,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090106NA",44.6782,-1.10207,,"Comprian","20090106",,,"Comprian_20090106",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2103.487064,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090119NA",44.6782,-1.10207,,"Comprian","20090119",,,"Comprian_20090119",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,52.675353,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090119NA",44.6782,-1.10207,,"Comprian","20090119",,,"Comprian_20090119",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,2334.349875,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090204NA",44.6782,-1.10207,,"Comprian","20090204",,,"Comprian_20090204",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,32.292788,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090204NA",44.6782,-1.10207,,"Comprian","20090204",,,"Comprian_20090204",,,1,1,160572,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,551.668461,"CEMP~NATL"
"BAMN","AA31","2009","Comprian20090219NA",44.6782,-1.10207,,"Comprian","20090219",,,"Comprian_20090219",,,1,1,17639,,,"ABUNDNR","nrcells/l",,,,,,"T~S","2009","PP","ERID",,,,64.679415,"CEMP~NATL"
